,question_number,question_text,question_subtext,body_text
107,QUESTION 108,OF THE ANGELIC DEGREES OF HIERARCHIES AND ORDERS,In Eight Articles,"We next consider the degrees of the angels in their hierarchies and
orders; for it was said above (Q. 106, A. 3), that the superior
angels enlighten the inferior angels; and not conversely.

Under this head there are eight points of inquiry:

(1) Whether all the angels belong to one hierarchy?

(2) Whether in one hierarchy there is only one order?

(3) Whether in one order there are many angels?

(4) Whether the distinction of hierarchies and orders is natural?

(5) Of the names and properties of each order.

(6) Of the comparison of the orders to one another.

(7) Whether the orders will outlast the Day of Judgment?

(8) Whether men are taken up into the angelic orders?
"
108,QUESTION 109,THE ORDERING OF THE BAD ANGELS,In Four Articles,"We now consider the ordering of the bad angels; concerning which there
are four points of inquiry:

(1) Whether there are orders among the demons?

(2) Whether among them there is precedence?

(3) Whether one enlightens another?

(4) Whether they are subject to the precedence of the good angels?
"
109,QUESTION 110,HOW ANGELS ACT ON BODIES,In Four Articles,"We now consider how the angels preside over the corporeal creatures.
Under this head there are four points of inquiry:

(1) Whether the corporeal creature is governed by the angels?

(2) Whether the corporeal creature obeys the mere will of the angels?

(3) Whether the angels by their own power can immediately move bodies
locally?

(4) Whether the good or bad angels can work miracles?
"
110,QUESTION 111,THE ACTION OF THE ANGELS ON MAN,In Four Articles,"We now consider the action of the angels on man, and inquire:

(1) How far they can change them by their own natural power;

(2) How they are sent by God to the ministry of men;

(3) How they guard and protect men.

Under the first head there are four points of inquiry:

(1) Whether an angel can enlighten the human intellect?

(2) Whether he can change man's will?

(3) Whether he can change man's imagination?

(4) Whether he can change man's senses?
"
111,QUESTION 112,THE MISSION OF THE ANGELS,In Four Articles,"We next consider the mission of the angels. Under this head arise
four points of inquiry:

(1) Whether any angels are sent on works of ministry?

(2) Whether all are sent?

(3) Whether those who are sent, assist?

(4) From what orders they are sent.
"
112,QUESTION 113,OF THE GUARDIANSHIP OF THE GOOD ANGELS,In Eight Articles,"We next consider the guardianship exercised by the good angels; and
their warfare against the bad angels. Under the first head eight
points of inquiry arise:

(1) Whether men are guarded by the angels?

(2) Whether to each man is assigned a single guardian angel?

(3) Whether the guardianship belongs only to the lowest order of
angels?

(4) Whether it is fitting for each man to have an angel guardian?

(5) When does an angel's guardianship of a man begin?

(6) Whether the angel guardians always watch over men?

(7) Whether the angel grieves over the loss of the one guarded?

(8) Whether rivalry exists among the angels as regards their
guardianship?
"
113,QUESTION 114,OF THE ASSAULTS OF THE DEMONS,In Five Articles,"We now consider the assaults of the demons. Under this head there are
five points of inquiry:

(1) Whether men are assailed by the demons?

(2) Whether to tempt is proper to the devil?

(3) Whether all the sins of men are to be set down to the assaults or
temptations of the demons?

(4) Whether they can work real miracles for the purpose of leading
men astray?

(5) Whether the demons who are overcome by men, are hindered from
making further assaults?
"
114,QUESTION 115,OF THE ACTION OF THE CORPOREAL CREATURE,In Six Articles,"We have now to consider the action of the corporeal creature; and
fate, which is ascribed to certain bodies. Concerning corporeal
actions there are six points of inquiry:

(1) Whether a body can be active?

(2) Whether there exist in bodies certain seminal virtues?

(3) Whether the heavenly bodies are the causes of what is done here
by the inferior bodies?

(4) Whether they are the cause of human acts?

(5) Whether demons are subject to their influence?

(6) Whether the heavenly bodies impose necessity on those things
which are subject to their influence?
"
115,QUESTION 116,ON FATE,In Four Articles,"We come now to the consideration of fate. Under this head there are
four points of inquiry:

(1) Is there such a thing as fate?

(2) Where is it?

(3) Is it unchangeable?

(4) Are all things subject to fate?
"
116,QUESTION 117,OF THINGS PERTAINING TO THE ACTION OF MAN,In Four Articles,"We have next to consider those things which pertain to the action of
man, who is composed of a created corporeal and spiritual nature. In
the first place we shall consider that action (in general) and
secondly in regard to the propagation of man from man. As to the
first, there are four points of inquiry:

(1) Whether one man can teach another, as being the cause of his
knowledge?

(2) Whether man can teach an angel?

(3) Whether by the power of his soul man can change corporeal matter?

(4) Whether the separate soul of man can move bodies by local
movement?
"
117,QUESTION 118,OF THE PRODUCTION OF MAN FROM MAN AS TO THE SOUL,In Three Articles,"We next consider the production of man from man: first, as to the
soul; secondly, as to the body.

Under the first head there are three points of inquiry:

(1) Whether the sensitive soul is transmitted with the semen?

(2) Whether the intellectual soul is thus transmitted?

(3) Whether all souls were created at the same time?
"
118,QUESTION 119,OF THE PROPAGATION OF MAN AS TO THE BODY,In Two Articles,"We now consider the propagation of man, as to the body. Concerning
this there are two points of inquiry:

(1) Whether any part of the food is changed into true human nature?

(2) Whether the semen, which is the principle of human generation,
is produced from the surplus food?
"
