,question_number,question_text,question_subtext,body_text
144,QUESTION 145,OF HONESTY*,In Four Articles,"[*Honesty must be taken here in its broad sense as synonymous with
moral goodness, from the point of view of decorum.]

We must now consider honesty, under which head there are four points
of inquiry:

(1) The relation between the honest and the virtuous;

(2) Its relation with the beautiful [*As honesty here denotes moral
goodness, so beauty stands for moral beauty];

(3) Its relation with the useful and the pleasant;

(4) Whether honesty is a part of temperance?
"
145,QUESTION 146,OF ABSTINENCE,In Two Articles,"We must now consider the subjective parts of temperance: first, those
which are about pleasures of food; secondly, those which are about
pleasures of sex. The first consideration will include abstinence,
which is about meat and drink, and sobriety, which is specifically
about drink.

With regard to abstinence three points have to be considered:
(1) Abstinence itself; (2) its act which is fasting; (3) its opposite
vice which is gluttony. Under the first head there are two points of
inquiry:

(1) Whether abstinence is a virtue?

(2) Whether it is a special virtue?
"
146,QUESTION 147,OF FASTING,In Eight Articles,"We must now consider fasting: under which head there are eight points
of inquiry:

(1) Whether fasting is an act of virtue?

(2) Of what virtue is it the act?

(3) Whether it is a matter of precept?

(4) Whether anyone is excused from fulfilling this precept?

(5) The time of fasting;

(6) Whether it is requisite for fasting to eat but once?

(7) The hour of eating for those who fast;

(8) The meats from which it is necessary to abstain.
"
147,QUESTION 148,OF GLUTTONY,In Six Articles,"We must now consider gluttony. Under this head there are six points
of inquiry:

(1) Whether gluttony is a sin?

(2) Whether it is a mortal sin?

(3) Whether it is the greatest of sins?

(4) Its species;

(5) Whether it is a capital sin?

(6) Its daughters.
"
148,QUESTION 149,OF SOBRIETY,In Four Articles,"We must now consider sobriety and the contrary vice, namely
drunkenness. As regards sobriety there are four points of inquiry:

(1) What is the matter of sobriety?

(2) Whether it is a special virtue?

(3) Whether the use of wine is lawful?

(4) To whom especially is sobriety becoming?
"
149,QUESTION 150,OF DRUNKENNESS,In Four Articles,"We must now consider drunkenness. Under this head there are four
points of inquiry:

(1) Whether drunkenness is a sin?

(2) Whether it is a mortal sin?

(3) Whether it is the most grievous sin?

(4) Whether it excuses from sin?
"
150,QUESTION 151,OF CHASTITY,In Four Articles,"We must next consider chastity: (1) The virtue itself of chastity:
(2) virginity, which is a part of chastity: (3) lust, which is the
contrary vice. Under the first head there are four points of inquiry:

(1) Whether chastity is a virtue?

(2) Whether it is a general virtue?

(3) Whether it is a virtue distinct from abstinence?

(4) Of its relation to purity.
"
151,QUESTION 152,OF VIRGINITY,In Five Articles,"We must now consider virginity: and under this head there are five
points of inquiry:

(1) In what does virginity consist?

(2) Whether it is lawful?

(3) Whether it is a virtue?

(4) Of its excellence in comparison with marriage;

(5) Of its excellence in comparison with the other virtues.
"
152,QUESTION 153,OF LUST,In Five Articles,"We must next consider the vice of lust which is opposed to chastity:
(1) Lust in general; (2) its species. Under the first head there are
five points of inquiry:

(1) What is the matter of lust?

(2) Whether all copulation is unlawful?

(3) Whether lust is a mortal sin?

(4) Whether lust is a capital vice?

(5) Concerning its daughters.
"
153,QUESTION 154,OF THE PARTS OF LUST,In Twelve Articles,"We must now consider the parts of lust, under which head there are
twelve points of inquiry:

(1) Into what parts is lust divided?

(2) Whether simple fornication is a mortal sin?

(3) Whether it is the greatest of sins?

(4) Whether there is mortal sin in touches, kisses and such like
seduction?

(5) Whether nocturnal pollution is a mortal sin?

(6) Of seduction;

(7) Of rape;

(8) Of adultery;

(9) Of incest;

(10) Of sacrilege;

(11) Of the sin against nature;

(12) Of the order of gravity in the aforesaid sins.
"
154,QUESTION 155,OF CONTINENCE,In Four Articles,"We must next consider the potential parts of temperance:
(1) continence; (2) clemency; (3) modesty. Under the first head we
must consider continence and incontinence. With regard to continence
there are four points of inquiry:

(1) Whether continence is a virtue?

(2) What is its matter?

(3) What is its subject?

(4) Of its comparison with temperance.
"
155,QUESTION 156,OF INCONTINENCE,In Four Articles,"We must now consider incontinence: and under this head there are four
points of inquiry:

(1) Whether incontinence pertains to the soul or to the body?

(2) Whether incontinence is a sin?

(3) The comparison between incontinence and intemperance;

(4) Which is the worse, incontinence in anger, or incontinence in
desire?
"
156,QUESTION 157,OF CLEMENCY AND MEEKNESS,In Four Articles,"We must next consider clemency and meekness, and the contrary vices.
Concerning the virtues themselves there are four points of inquiry:

(1) Whether clemency and meekness are altogether identical?

(2) Whether each of them is a virtue?

(3) Whether each is a part of temperance?

(4) Of their comparison with the other virtues.
"
157,QUESTION 158,OF ANGER,In Eight Articles,"We must next consider the contrary vices: (1) Anger that is opposed
to meekness; (2) Cruelty that is opposed to clemency. Concerning
anger there are eight points of inquiry:

(1) Whether it is lawful to be angry?

(2) Whether anger is a sin?

(3) Whether it is a mortal sin?

(4) Whether it is the most grievous of sins?

(5) Of its species;

(6) Whether anger is a capital vice?

(7) Of its daughters;

(8) Whether it has a contrary vice?
"
158,QUESTION 159,OF CRUELTY,In Two Articles,"We must now consider cruelty, under which head there are two points
of inquiry:

(1) Whether cruelty is opposed to clemency?

(2) Of its comparison with savagery or brutality.
"
159,QUESTION 160,OF MODESTY,In Two Articles,"We must now consider modesty: and (1) Modesty in general; (2) Each of
its species. Under the first head there are two points of inquiry:

(1) Whether modesty is a part of temperance?

(2) What is the matter of modesty?
"
160,QUESTION 161,OF HUMILITY,In Six Articles,"We must consider next the species of modesty: (1) Humility, and pride
which is opposed to it; (2) Studiousness, and its opposite,
Curiosity; (3) Modesty as affecting words or deeds; (4) Modesty as
affecting outward attire.

Concerning humility there are six points of inquiry:

(1) Whether humility is a virtue?

(2) Whether it resides in the appetite, or in the judgment of reason?

(3) Whether by humility one ought to subject oneself to all men?

(4) Whether it is a part of modesty or temperance?

(5) Of its comparison with the other virtues;

(6) Of the degrees of humility.
"
161,QUESTION 162,OF PRIDE,In Eight Articles,"We must next consider pride, and (1) pride in general; (2) the first
man's sin, which we hold to have been pride. Under the first head
there are eight points of inquiry:

(1) Whether pride is a sin?

(2) Whether it is a special vice?

(3) Wherein does it reside as in its subject?

(4) Of its species;

(5) Whether it is a mortal sin?

(6) Whether it is the most grievous of all sins?

(7) Of its relation to other sins;

(8) Whether it should be reckoned a capital vice?
"
162,QUESTION 163,OF THE FIRST MAN'S SIN,In Four Articles,"We must now consider the first man's sin which was pride: and (1) his
sin; (2) its punishment; (3) the temptation whereby he was led to sin.

Under the first head there are four points of inquiry:

(1) Whether pride was the first man's first sin?

(2) What the first man coveted by sinning?

(3) Whether his sin was more grievous than all other sins?

(4) Which sinned more grievously, the man or the woman?
"
163,QUESTION 164,OF THE PUNISHMENTS OF THE FIRST MAN'S SIN,In Two Articles,"We must now consider the punishments of the first sin; and under this
head there are two points of inquiry: (1) Death, which is the common
punishment; (2) the other particular punishments mentioned in Genesis.
"
164,QUESTION 165,OF OUR FIRST PARENTS' TEMPTATION,In Two Articles,"We must now consider our first parents' temptation, concerning which
there are two points of inquiry:

(1) Whether it was fitting for man to be tempted by the devil?

(2) Of the manner and order of that temptation.
"
165,QUESTION 166,OF STUDIOUSNESS,In Two Articles,"We must next consider studiousness and its opposite, curiosity.
Concerning studiousness there are two points of inquiry:

(1) What is the matter of studiousness?

(2) Whether it is a part of temperance?
"
166,QUESTION 167,OF CURIOSITY,In Two Articles,"We must next consider curiosity, under which head there are two
points of inquiry:

(1) Whether the vice of curiosity can regard intellective knowledge?

(2) Whether it is about sensitive knowledge?
"
167,QUESTION 168,OF MODESTY AS CONSISTING IN THE OUTWARD MOVEMENTS OF THE BODY,In Four Articles,"We must next consider modesty as consisting in the outward movements
of the body, and under this head there are four points of inquiry:

(1) Whether there can be virtue and vice in the outward movements of
the body that are done seriously?

(2) Whether there can be a virtue about playful actions?

(3) Of the sin consisting in excess of play;

(4) Of the sin consisting in lack of play.
"
168,QUESTION 169,OF MODESTY IN THE OUTWARD APPAREL,In Two Articles,"We must now consider modesty as connected with the outward apparel,
and under this head there are two points of inquiry:

(1) Whether there can be virtue and vice in connection with outward
apparel?

(2) Whether women sin mortally by excessive adornment?
"
169,QUESTION 170,OF THE PRECEPTS OF TEMPERANCE,In Two Articles,"We must next consider the precepts of temperance:

(1) The precepts of temperance itself;

(2) The precepts of its parts.
"
170,QUESTION 171,OF PROPHECY,In Six Articles,"After treating individually of all the virtues and vices that pertain
to men of all conditions and estates, we must now consider those
things which pertain especially to certain men. Now there is a triple
difference between men as regards things connected with the soul's
habits and acts. First, in reference to the various gratuitous
graces, according to 1 Cor. 12:4, 7: ""There are diversities of graces
. . . and to one . . . by the Spirit is given the word of wisdom, to
another the word of knowledge,"" etc. Another difference arises from
the diversities of life, namely the active and the contemplative
life, which correspond to diverse purposes of operation, wherefore it
is stated (1 Cor. 12:4, 7) that ""there are diversities of
operations."" For the purpose of operation in Martha, who ""was busy
about much serving,"" which pertains to the active life, differed from
the purpose of operation in Mary, ""who sitting . . . at the Lord's
feet, heard His word"" (Luke 10:39, 40), which pertains to the
contemplative life. A third difference corresponds to the various
duties and states of life, as expressed in Eph. 4:11, ""And He gave
some apostles; and some prophets; and other some evangelists; and
other some pastors and doctors"": and this pertains to diversity of
ministries, of which it is written (1 Cor. 12:5): ""There are
diversities of ministries.""

With regard to gratuitous graces, which are the first object to be
considered, it must be observed that some of them pertain to
knowledge, some to speech, and some to operation. Now all things
pertaining to knowledge may be comprised under _prophecy,_ since
prophetic revelation extends not only to future events relating to
man, but also to things relating to God, both as to those which are
to be believed by all and are matters of _faith,_ and as to yet
higher mysteries, which concern the perfect and belong to _wisdom._
Again, prophetic revelation is about things pertaining to spiritual
substances, by whom we are urged to good or evil; this pertains to
the _discernment of spirits._ Moreover it extends to the direction of
human acts, and this pertains to _knowledge,_ as we shall explain
further on (Q. 177). Accordingly we must first of all consider
prophecy, and rapture which is a degree of prophecy.

Prophecy admits of four heads of consideration: (1) its essence;
(2) its cause; (3) the mode of prophetic knowledge; (4) the division
of prophecy.

Under the first head there are six points of inquiry:

(1) Whether prophecy pertains to knowledge?

(2) Whether it is a habit?

(3) Whether it is only about future contingencies?

(4) Whether a prophet knows all possible matters of prophecy?

(5) Whether a prophet distinguishes that which he perceives by the
gift of God, from that which he perceives by his own spirit?

(6) Whether anything false can be the matter of prophecy?
"
171,QUESTION 172,OF THE CAUSE OF PROPHECY,In Six Articles,"We must now consider the cause of prophecy. Under this head there are
six points of inquiry:

(1) Whether prophecy is natural?

(2) Whether it is from God by means of the angels?

(3) Whether a natural disposition is requisite for prophecy?

(4) Whether a good life is requisite?

(5) Whether any prophecy is from the demons?

(6) Whether prophets of the demons ever tell what is true?
"
172,QUESTION 173,OF THE MANNER IN WHICH PROPHETIC KNOWLEDGE IS CONVEYED,In Four Articles,"We must now consider the manner in which prophetic knowledge is
conveyed, and under this head there are four points of inquiry:

(1) Whether the prophets see God's very essence?

(2) Whether the prophetic revelation is effected by the infusion of
certain species, or by the infusion of Divine light alone?

(3) Whether prophetic revelation is always accompanied by abstraction
from the sense?

(4) Whether prophecy is always accompanied by knowledge of the things
prophesied?
"
173,QUESTION 174,OF THE DIVISION OF PROPHECY,In Six Articles,"We must now consider the division of prophecy, and under this head
there are six points of inquiry:

(1) The division of prophecy into its species;

(2) Whether the more excellent prophecy is that which is without
imaginative vision?

(3) The various degrees of prophecy;

(4) Whether Moses was the greatest of the prophets?

(5) Whether a comprehensor can be a prophet?

(6) Whether prophecy advanced in perfection as time went on?
"
174,QUESTION 175,OF RAPTURE,In Six Articles,"We must now consider rapture. Under this head there are six points of
inquiry:

(1) Whether the soul of man is carried away to things divine?

(2) Whether rapture pertains to the cognitive or to the appetitive
power?

(3) Whether Paul when in rapture saw the essence of God?

(4) Whether he was withdrawn from his senses?

(5) Whether, when in that state, his soul was wholly separated from
his body?

(6) What did he know, and what did he not know about this matter?
"
175,QUESTION 176,OF THE GRACE OF TONGUES,In Two Articles,"We must now consider those gratuitous graces that pertain to speech,
and (1) the grace of tongues; (2) the grace of the word of wisdom and
knowledge. Under the first head there are two points of inquiry:

(1) Whether by the grace of tongues a man acquires the knowledge of
all languages?

(2) Of the comparison between this gift and the grace of prophecy.
"
176,QUESTION 177,OF THE GRATUITOUS GRACE CONSISTING IN WORDS,In Two Articles,"We must now consider the gratuitous grace that attaches to words; of
which the Apostle says (1 Cor. 12:8): ""To one . . . by the Spirit is
given the word of wisdom, and to another the word of knowledge."" Under
this head there are two points of inquiry:

(1) Whether any gratuitous grace attaches to words?

(2) To whom is the grace becoming?
"
177,QUESTION 178,OF THE GRACE OF MIRACLES,In Two Articles,"We must next consider the grace of miracles, under which head there
are two points of inquiry:

(1) Whether there is a gratuitous grace of working miracles?

(2) To whom is it becoming?
"
178,QUESTION 179,OF THE DIVISION OF LIFE INTO ACTIVE AND CONTEMPLATIVE,In Two Articles,"We must next consider active and contemplative life. This
consideration will be fourfold: (1) Of the division of life into
active and contemplative; (2) Of the contemplative life; (3) Of the
active life; (4) Of the comparison between the active and the
contemplative life.

Under the first head there are two points of inquiry:

(1) Whether life is fittingly divided into active and contemplative?

(2) Whether this is an adequate division?
"
179,QUESTION 180,OF THE CONTEMPLATIVE LIFE,In Eight Articles,"We must now consider the contemplative life, under which head there
are eight points of inquiry:

(1) Whether the contemplative life pertains to the intellect only, or
also to the affections?

(2) Whether the moral virtues pertain to the contemplative life?

(3) Whether the contemplative life consists in one action or in
several?

(4) Whether the consideration of any truth whatever pertains to the
contemplative life?

(5) Whether the contemplative life of man in this state can arise to
the vision of God?

(6) Of the movements of contemplation assigned by Dionysius (Div.
Nom. iv);

(7) Of the pleasure of contemplation;

(8) Of the duration of contemplation.
"
180,QUESTION 181,OF THE ACTIVE LIFE,In Four Articles,"We must now consider the active life, under which head there are four
points of inquiry:

(1) Whether all the works of the moral virtues pertain to the active
life?

(2) Whether prudence pertains to the active life?

(3) Whether teaching pertains to the active life?

(4) Of the duration of the active life.
"
181,QUESTION 182,OF THE ACTIVE LIFE IN COMPARISON WITH THE CONTEMPLATIVE LIFE,In Four Articles,"We must now consider the active life in comparison with the
contemplative life, under which head there are four points of inquiry:

(1) Which of them is of greater import or excellence?

(2) Which of them has the greater merit?

(3) Whether the contemplative life is hindered by the active life?

(4) Of their order.
"
182,QUESTION 183,OF MAN'S VARIOUS DUTIES AND STATES IN GENERAL,In Four Articles,"We must next consider man's various states and duties. We shall
consider (1) man's duties and states in general; (2) the state of the
perfect in particular.

Under the first head there are four points of inquiry:

(1) What constitutes a state among men?

(2) Whether among men there should be various states and duties?

(3) Of the diversity of duties;

(4) Of the diversity of states.
"
183,QUESTION 184,OF THE STATE OF PERFECTION IN GENERAL,In Eight Articles,"We must now consider those things that pertain to the state of
perfection whereto the other states are directed. For the
consideration of offices in relation to other acts belongs to the
legislator; and in relation to the sacred ministry it comes under the
consideration of orders of which we shall treat in the Third Part
[*Suppl., Q. 34].

Concerning the state of the perfect, a three-fold consideration
presents itself: (1) The state of perfection in general; (2) Things
relating to the perfection of bishops; (3) Things relating to the
perfection of religious.

Under the first head there are eight points of inquiry:

(1) Whether perfection bears any relation to charity?

(2) Whether one can be perfect in this life?

(3) Whether the perfection of this life consists chiefly in observing
the counsels or the commandments?

(4) Whether whoever is perfect is in the state of perfection?

(5) Whether especially prelates and religious are in the state of
perfection?

(6) Whether all prelates are in the state of perfection?

(7) Which is the more perfect, the episcopal or the religious state?

(8) The comparison between religious and parish priests and
archdeacons.
"
184,QUESTION 185,OF THINGS PERTAINING TO THE EPISCOPAL STATE,In Eight Articles,"We must now consider things pertaining to the episcopal state. Under
this head there are eight points of inquiry:

(1) Whether it is lawful to desire the office of a bishop?

(2) Whether it is lawful to refuse the office of bishop definitively?

(3) Whether the better man should be chosen for the episcopal office?

(4) Whether a bishop may pass over to the religious state?

(5) Whether he may lawfully abandon his subjects in a bodily manner?

(6) Whether he can have anything of his own?

(7) Whether he sins mortally by not distributing ecclesiastical goods
to the poor?

(8) Whether religious who are appointed to the episcopal office are
bound to religious observances?
"
185,QUESTION 186,OF THOSE THINGS IN WHICH THE RELIGIOUS STATE PROPERLY CONSISTS,In Ten Articles,"We must now consider things pertaining to the religious state: which
consideration will be fourfold. In the first place we shall consider
those things in which the religious state consists chiefly; secondly,
those things which are lawfully befitting to religious; thirdly, the
different kinds of religious orders; fourthly, the entrance into the
religious state.

Under the first head there are ten points of inquiry:

(1) Whether the religious state is perfect?

(2) Whether religious are bound to all the counsels?

(3) Whether voluntary poverty is required for the religious state?

(4) Whether continency is necessary?

(5) Whether obedience is necessary?

(6) Whether it is necessary that these should be the matter of a vow?

(7) Of the sufficiency of these vows;

(8) Of their comparison one with another;

(9) Whether a religious sins mortally whenever he transgresses a
statute of his rule?

(10) Whether, other things being equal, a religious sins more
grievously by the same kind of sin than a secular person?
"
186,QUESTION 187,OF THOSE THINGS THAT ARE COMPETENT TO RELIGIOUS,In Six Articles,"We must now consider the things that are competent to religious; and
under this head there are six points of inquiry:

(1) Whether it is lawful for them to teach, preach, and do like
things?

(2) Whether it is lawful for them to meddle in secular business?

(3) Whether they are bound to manual labor?

(4) Whether it is lawful for them to live on alms?

(5) Whether it is lawful for them to quest?

(6) Whether it is lawful for them to wear coarser clothes than other
persons?
"
187,QUESTION 188,OF THE DIFFERENT KINDS OF RELIGIOUS LIFE,In Eight Articles,"We must now consider the different kinds of religious life, and under
this head there are eight points of inquiry:

(1) Whether there are different kinds of religious life or only one?

(2) Whether a religious order can be established for the works of the
active life?

(3) Whether a religious order can be directed to soldiering?

(4) Whether a religious order can be established for preaching and
the exercise of like works?

(5) Whether a religious order can be established for the study of
science?

(6) Whether a religious order that is directed to the contemplative
life is more excellent than one that is directed to the active life?

(7) Whether religious perfection is diminished by possessing
something in common?

(8) Whether the religious life of solitaries is to be preferred to
the religious life of those who live in community?
"
188,QUESTION 189,OF THE ENTRANCE INTO RELIGIOUS LIFE,In Ten Articles,"We must now consider the entrance into religious life. Under this
head there are ten points of inquiry:

(1) Whether those who are not practiced in the observance of the
commandments should enter religion?

(2) Whether it is lawful for a person to be bound by vow to enter
religion?

(3) Whether those who are bound by vow to enter religion are bound to
fulfil their vow?

(4) Whether those who vow to enter religion are bound to remain there
in perpetuity?

(5) Whether children should be received into religion?

(6) Whether one should be withheld from entering religion through
deference to one's parents?

(7) Whether parish priests or archdeacons may enter religion?

(8) Whether one may pass from one religious order to another?

(9) Whether one ought to induce others to enter religion?

(10) Whether serious deliberation with one's relations and friends
is requisite for entrance into religion?
"
